"","raz_social","X","id","nom_estab","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta","ctarfc"
"11","ADMINISTRADORA DE HOTELES LA LIBERTAD SA DE CV",381,6325007,"HOTEL LA TOJA",721111,"Hoteles con otros servicios integrados","0 a 5 personas","CALLE","LIBERTAD","CALLE","COMONFORT","CALLE","ALLENDE","CALLE","JAIME NUNÓ",60,"","","",0,"","COLONIA","AMPLIACIÓN MORELOS","","","",6200,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","536",10,NA,"SINCORREOELECTRONICO@HKA.MX","","Fijo",19.44445534,-99.13628132,"2010-07","AHL930618A8A"
"12","ADMINISTRADORA HOTELERA DEL CENTRO SA DE CV",262,6256948,"HOTEL EL EJECUTIVO REFORMA",721111,"Hoteles con otros servicios integrados","51 a 100 personas","CALLE","VIENA","CALLE","GENERAL PRIM","CALLE","LUCERNA","CALLE","MILÁN",8,"","","",0,"SN","COLONIA","JUÁREZ","","","",6600,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","856",16,NA,"INFO@ELEJECUTIVO.COM.MX","WWW.HOTELELEJECUTIVO.COM","Fijo",19.43069077,-99.15759572,"2010-07","AHC030707HX1"
"13","ADMINISTRADORA HOTELERA DEL CENTRO SA DE CV",621,6313795,"HOTEL SUITES DEL PARQUE",721111,"Hoteles con otros servicios integrados","11 a 30 personas","CALLE","DAKOTA","CALLE","ARIZONA","CALLE","MINNESOTA","OTRO (ESPECIFIQUE)","NINGUNO",155,"","","",0,"","COLONIA","NÁPOLES","EDIFICIO COMERCIAL Y DE SERVICIOS","","",3810,9,"CIUDAD DE MÉXICO",14,"Benito Juárez",1,"Benito Juárez","204",3,NA,"","","Fijo",19.3938907,-99.17549126,"2010-07","AHC030707HX1"
"14","ADMINISTRADORA HOTELERA DEL CENTRO SA DE CV",80,6258483,"GRAN HOTEL DE LA CIUDAD DE MÉXICO",721111,"Hoteles con otros servicios integrados","101 a 250 personas","CALLE","16 DE SEPTIEMBRE","CALLE","PALMA","CALLE","PLAZA DE LA CONSTITUCIÓN","AVENIDA","FRANCISCO I. MADERO",82,"","","",82,"","COLONIA","CENTRO","","","",6000,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","771",5,NA,"","","Fijo",19.43202749,-99.13467699,"2010-07","AHC030707HX1"
"15","ADMINISTRADORA HOTELERA GALICIA SA",767,6259140,"MX GARIBALDI",721111,"Hoteles con otros servicios integrados","11 a 30 personas","PEATONAL","REPÚBLICA DE HONDURAS","PEATONAL","ALLENDE","CALLE","CALLEJÓN DE GARIBALDI","CALLE","REPÚBLICA DE PERÚ",11,"","","",0,"","COLONIA","CENTRO","","","",6020,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","644",22,NA,"J.ALCANTARA@MXHOTELES.COM","","Fijo",19.44076786,-99.13773571,"2010-07","AHG830209C21"
"16","ADMINISTRADORA HOTELERA LAS VEGAS SA DE CV",391,6325048,"HOTEL LAS VEGAS",721112,"Hoteles sin otros servicios integrados","11 a 30 personas","EJE VIAL","1 ORIENTE (ANILLO DE CIRCUNVALACION)","CALLE","CARRETONES","CALLE","PUENTE SANTO TOMAS","CALLE","PUENTE SANTO TOMÁS",1023,"","","",NA,"","COLONIA","CENTR0","","","",6110,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","979",14,NA,"HLASVEGAS1023@HOTMAIL.COM","","Fijo",19.42466622,-99.12589631,"2010-07","AHV910521PY8"
"17","ADMINISTRADORA INTEGRAL BAHIA DE SANTA LUCIA",4,8901557,"ADMINISTRADORA INTEGRAL BAHIA DE SANTA LUCIA",721111,"Hoteles con otros servicios integrados","101 a 250 personas","PRIVADA","Sierra Candela","CALLE","Sierra Candela","CALLE","Monte Grampianos","CALLE","Sierra Mojada",111,"","CXANDELA","PISO 3",3,"","COLONIA","LOMA DE CHAPULTEPEC","EDIFICIO COMERCIAL Y DE SERVICIOS","TORRE CANDELA","3",11000,9,"CIUDAD DE MÉXICO",16,"Miguel Hidalgo",1,"Miguel Hidalgo","730",1,NA,"","","Fijo",19.43110155,-99.21309412,"2019-11","AIB110912AU4"
"18","ADMINISTRADORA LA GARANDILLA SA DE CV",291,6324877,"HOTEL FARO",721111,"Hoteles con otros servicios integrados","11 a 30 personas","EJE VIAL","3 NORTE (INGENIERO ALFREDO ROBLES DOMINGUEZ)","CALLE","INGENIERO ROBERTO GAYOL","CALLE","REAL DEL MONTE","CALLE","INGENIERO ANTONIO NARRO ACUÑA",197,"","","",NA,"","COLONIA","GUADALUPE INSURGENTES","","","",7870,9,"CIUDAD DE MÉXICO",5,"Gustavo A. Madero",1,"Gustavo A. Madero","1561",15,NA,"HOTEL_FARO_MX@HOTMAIL.COM","WWW.HOTEL-FARO.COM","Fijo",19.47028848,-99.13255384,"2012-06","AGA100812AU6"
"19","ADMINISTRADORA Y COMERCIALIZADORA TURISTICA SALINA CRUZ SA DE CV",179,6419997,"HOTEL CANADIAN RESORTS",721111,"Hoteles con otros servicios integrados","0 a 5 personas","CALLE","RUBÉN MELCHOR OCAMPO","CALLE","MARTÍN LUIS GUZMÁN","CALLE","GREGORIO LÓPEZ Y FUENTES","CALLE","FRANCISCO FERNÁNDEZ DEL CASTILLO",212,"","","",301,"C","COLONIA","CUAUHTÉMOC","","","",6500,9,"CIUDAD DE MÉXICO",14,"Benito Juárez",1,"Benito Juárez","331",16,NA,"PBENITEZS@HOTMAIL.COM","WWW.SKIPPERCLUB.COM.MX","Fijo",19.38714566,-99.13446414,"2011-03","ACT1303214T7"
"20","ADRIANA Y SUS ANGELES SA DE CV",564,6318910,"HOTEL RESIDENCIAL POLANCO",721111,"Hoteles con otros servicios integrados","6 a 10 personas","CERRADA","SEGUNDA CERRADA TANTOCO","PRIVADA","NINGUNO","CALLE","TANTOCO","CALLEJON","CALLEJÓN DEL TORO",0,"SN","","",0,"","COLONIA","SAN JERONIMO LIDICE","","","",10200,9,"CIUDAD DE MÉXICO",8,"La Magdalena Contreras",1,"La Magdalena Contreras","025A",3,NA,"RESERVASAGENCIASRP@GMAIL.COM","","Fijo",19.31159315,-99.24042885,"2010-07","AAN080311NF2"
"21","ADRIANA Y SUS ANGELES SA DE CV",563,6325354,"HOTEL RESIDENCIAL POLANCO",721111,"Hoteles con otros servicios integrados","6 a 10 personas","CALLE","ISSAC NEWTON","CALLE","FRANCISCO PETRARCA","AVENIDA","EJÉRCITO NACIONAL MEXICANO","CALLE","EJÉRCITO NACIONAL MEXICANO",272,"","","",0,"","COLONIA","CHAPULTEPEC MORALES","","","",11570,9,"CIUDAD DE MÉXICO",16,"Miguel Hidalgo",1,"Miguel Hidalgo","660",17,NA,"RESIDENCIAPOLANCOHOTEL@GMAIL.COM","","Fijo",19.43659736,-99.18487145,"2012-06","AAN080311NF2"
"22","ADRIANA Y SUS ANGELES SA DE CV",213,9274177,"HOTEL CONDESA",721112,"Hoteles sin otros servicios integrados","0 a 5 personas","EJE VIAL","4 SUR (BENJAMIN FRANKLIN)","CALLE","SULTEPEC","CALLE","OMETUSCO","EJE VIAL","3 SUR (AVENIDA BAJA CALIFORNIA)",185,"","","",NA,"","COLONIA","HIPOROMO","","","",6100,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","1426",3,NA,"CONDESA185@GMAIL.COM","","Fijo",19.40468974,-99.17451306,"2020-11","AAN080311NF2"
"23","ALGASE SA DE CV",583,6314466,"HOTEL ROYAL PEDREGAL",721111,"Hoteles con otros servicios integrados","251 y más personas","PERIFERICO","BOULEVARD ADOLFO RUÍZ CORTINES","CALLE","RINCONADA CAMINO A SANTA TERESA","CALLE","PICO DE TOLIMA","CALLE","PICO DE VERAPAZ",4363,"","","",0,"","COLONIA","JARDINES EN LA MONTA A","","","",14210,9,"CIUDAD DE MÉXICO",12,"Tlalpan",1,"Tlalpan","1956",14,NA,"","WWW.HOTELROYAL.COM.MX","Fijo",19.30241643,-99.19821351,"2010-07","ALG8601294S9"
"24","ALIANZAS FEPRO SA DE CV",5,6259066,"ALIANZAS FEPRO",721112,"Hoteles sin otros servicios integrados","11 a 30 personas","CALZADA","CALZADA DE TLALPAN","CALLE","INGENIERO PASCUAL ORTIZ RUBIO","CALLE","SAN SIMON","CALLE","CENTENARIO",1221,"","","",NA,"1221","COLONIA","SAN SIMON TICUMAN","","","",3660,9,"CIUDAD DE MÉXICO",14,"Benito Juárez",1,"Benito Juárez","651",10,NA,"FACTURACIONHOTELGRACI@GMAIL.COM","","Fijo",19.37314379,-99.14134617,"2010-07","AFE160811H15"
"25","ALJAFER SA DE CV",172,6259127,"HOTEL CALVIN",721112,"Hoteles sin otros servicios integrados","11 a 30 personas","CALLE","AZUETA","AVENIDA","JUAREZ","CALLE","INDEPENDENCIA","AVENIDA","BALDERAS",33,"","","",NA,"","COLONIA","CENTR0","","","",6000,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","748",26,NA,"INFO@HOTELCALVIN.MX","","Fijo",19.43390594,-99.14678655,"2010-07","ALJ951207D54"
"26","ALPER SA DE CV",162,6305958,"HOTEL BRASILIA",721111,"Hoteles con otros servicios integrados","51 a 100 personas","EJE VIAL","CENTRAL (LAZARO CARDENAS)","CALLE","PONIENTE 112","CALLE","NORTE 1D","CALLE","NORTE 1D",4823,"","","",NA,"","COLONIA","AMPLIACION PANAMERICANA","","","",7770,9,"CIUDAD DE MÉXICO",5,"Gustavo A. Madero",1,"Gustavo A. Madero","1398",17,NA,"MARY@HOTEL-BRASILIA.COM.MX","","Fijo",19.47562162,-99.13889089,"2010-07","ALP730213UN6"
"27","AMSAR SA DE CV",409,6325027,"HOTEL MAGA",721112,"Hoteles sin otros servicios integrados","6 a 10 personas","CALLE","RAFAEL DELGADO","CALLE","5 DE FEBRERO","CALZADA","SAN ANTONIO ABAD","CALLE","JUAN A. MATEOS",132,"","","",NA,"","COLONIA","OBRERA","","","",6800,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","1407",11,NA,"","","Fijo",19.41000068,-99.13702609,"2010-07","AMS0403237W6"
"28","ANCARCO SA DE CV",436,6325261,"HOTEL MENARA",721112,"Hoteles sin otros servicios integrados","6 a 10 personas","AVENIDA","Nezahualcóyotl","CALLE","Segundo Callejón Nezahualcóyotl","CALLE","Isabel la Católica","AVENIDA","José María Izazaga",88,"","","",0,"","COLONIA","CENTRO","","","",6090,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","964",1,NA,"","","Fijo",19.42539129,-99.13783158,"2010-07","ANC7307111Z1"
"29","ANDURIÑA SA DE CV",188,6313885,"HOTEL CASTILLO",721111,"Hoteles con otros servicios integrados","11 a 30 personas","CALZADA","CALZADA DE TLALPAN","CALLE","FERNANDO ANAYA MONROY","CALLE","ORIENTE 180-A","CALLE","FERNANDO ANAYA MONROY",1606,"","","",0,"","COLONIA","PRADO ERMITA","","","",3590,9,"CIUDAD DE MÉXICO",14,"Benito Juárez",1,"Benito Juárez","1024",19,NA,"HOTEL.CASTILLO@LIVE.COM.MX","","Fijo",19.35903137,-99.14308578,"2010-07","AND841206QK2"
"30","APARTAMENTOS MADRID ONCE SA",7,6726909,"APARTAMENTOS MADRID ONCE",721111,"Hoteles con otros servicios integrados","0 a 5 personas","CALLE","MADRID","CALLE","PARÍS","CALLE","MAESTRO ANTONIO CASO","CALLE","MADRID",11,"","","",0,"","COLONIA","TABACALERA","","","",6030,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","070A",13,NA,"","","Fijo",19.43355392,-99.15650246,"2016-01","AMO700211S87"
"31","ARRENDADORA DE INMUEBLES MIRAMAR SA DE CV",446,6324402,"HOTEL MIRAMAR",721112,"Hoteles sin otros servicios integrados","11 a 30 personas","CALZADA","CALZADA DE TLALPAN","EJE VIAL","8 SUR (AVENIDA POPOCATEPETL)","AVENIDA","PIRINEOS","CALLE","MIRAMAR",1550,"","","",NA,"","COLONIA","MIRAVALLE","","","",3580,9,"CIUDAD DE MÉXICO",14,"Benito Juárez",1,"Benito Juárez","1024",20,NA,"","","Fijo",19.36094247,-99.1428072,"2010-07","AIM881214619"
"32","ARRENDADORA DE INMUEBLES SAN LUCAS SA DE CV",595,6325422,"HOTEL SAN LUCAS",721112,"Hoteles sin otros servicios integrados","11 a 30 personas","CALLE","SAN MIGUEL","CALLE","CERRADA NEZAHUALCOYOTL","AVENIDA","FRAY SERVANDO TERESA DE MIER","CALLE","SAN LUCAS",6,"","","",NA,"","COLONIA","CENTRO","","","",6800,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","979",11,NA,"","","Fijo",19.42448213,-99.13164009,"2010-07","AIS8810197I1"
"33","ARRENDADORA DE INMUEBLES SUIZA SA DE CV",533,6324396,"HOTEL PORTALES",721112,"Hoteles sin otros servicios integrados","31 a 50 personas","CALLE","SUIZA","CALZADA","CALZADA DE TLALPAN","CALLE","MIRAFLORES","EJE VIAL","7 SUR (MUNICIPIO LIBRE)",46,"","","",NA,"","COLONIA","PORTALES ORIENTE","","","",3570,9,"CIUDAD DE MÉXICO",14,"Benito Juárez",1,"Benito Juárez","878",19,NA,"","","Fijo",19.36853711,-99.14137486,"2010-07","AIS881019KB9"
"34","AUFRA SA DE CV",560,6304176,"HOTEL REGENTE CITY",721111,"Hoteles con otros servicios integrados","51 a 100 personas","CALLE","PARÍS","AVENIDA","INSURGENTES CENTRO","CALLE","MADRID","AVENIDA","INSURGENTES CENTRO",9,"","","",0,"","COLONIA","TABACALERA","","","",6030,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","070A",14,NA,"CONTABILIDAD@HOTEL-REGENTE.COM.MX","WWW.HOTEL-REGENTE.COM.MX","Fijo",19.43349498,-99.15758862,"2010-07","AUF930325CV8"
"35","AZORES HOTEL SA DE CV",141,6259227,"HOTEL AZORES",721111,"Hoteles con otros servicios integrados","31 a 50 personas","CALLE","REPÚBLICA DE BRASIL","CALLE","DONCELES","CALLE","LUIS GONZÁLEZ OBREGÓN","CALLE","REPÚBLICA DE ARGENTINA",25,"","","",0,"SN","COLONIA","CENTRO","","","",6010,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","752",2,NA,"HOTELAZORES@YAHOO.COM.MX","WWW.HOTELAZORES.COM.MX","Fijo",19.43651274,-99.13365202,"2010-07","AHO900620559"
"36","B-W INTERNATIONAL LICENSING MEXICO SA DE CV",16,9318135,"BEST WESTERN",721111,"Hoteles con otros servicios integrados","0 a 5 personas","EJE VIAL","4 SUR (XOLA)","CALLE","MIER Y PESADO","CALLE","ADOLFO PRIETO","CALLE","ROMERO DE TERREROS",535,"","","",NA,"","COLONIA","DEL VALLE NORTE","EDIFICIO COMERCIAL Y DE SERVICIOS","TORRE AXA","401 Y 402",3103,9,"CIUDAD DE MÉXICO",14,"Benito Juárez",1,"Benito Juárez","242",5,NA,"","","Fijo",19.39705778,-99.16534011,"2020-11","BIL181019QK2"
"37","BANANA CONSULTING SA DE CV",30,6749924,"CHAYA BED BREAKFAST BOUTIQUE",721111,"Hoteles con otros servicios integrados","11 a 30 personas","CALLE","DOCTOR MORA","AVENIDA","HIDALGO","CALLE","CRISTÓBAL COLÓN","AVENIDA","BALDERAS",9,"","","",0,"","COLONIA","CENTRO ZOCALO DF","","","",6050,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","733",5,NA,"","WWW.CHAYABB.COM","Fijo",19.436146,-99.14619203,"2016-10","BCO150121E72"
"38","BAROES SA DE CV",760,730859,"MOTEL SUITZ M",721113,"Moteles","11 a 30 personas","EJE VIAL","6 SUR (AVENIDA DE LAS TORRES)","CALLE","AQUILES SERDAN","CALLE","VENUSTIANO CARRANZA","CALLE","ABRAHAM GONZÁLEZ",65,"","","",NA,"","COLONIA","ZONA URBANA EJIDAL SANTA MARIA AZTAHUACAN","","","",9570,9,"CIUDAD DE MÉXICO",7,"Iztapalapa",1,"Iztapalapa","1091",19,5556420642,"","","Fijo",19.36038138,-99.03333464,"2014-12","BAR090831282"
"39","BECOÑA SA DE CV",658,6307193,"HOTEL VALLE DEL SUR",721112,"Hoteles sin otros servicios integrados","11 a 30 personas","EJE VIAL","3 ORIENTE (ARNESES)","CALLE","CALLEJON ÁLAMOS","CALLE","LEGUMINOSAS","CALLE","COSECHAS",311,"","","",0,"","COLONIA","VALLE DEL SUR","","","",9819,9,"CIUDAD DE MÉXICO",7,"Iztapalapa",1,"Iztapalapa","1369",20,NA,"HOTELVALLEDELSUR@HOTMAIL.COM","","Fijo",19.34595135,-99.1120287,"2010-07","BEC0306199K1"
"40","BIENES Y RAICES BARREDA SA DE CV",148,6259222,"HOTEL BARREDA",721112,"Hoteles sin otros servicios integrados","11 a 30 personas","CALLE","GABINO BARREDA","CALLE","GARCIA ICAZBALCETA","CALLE","ALFONSO HERRERA","CALLE","MANUEL MARÍA CONTRERAS",33,"","","",NA,"","COLONIA","SAN RAFAEL","","","",6470,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","678",9,NA,"","","Fijo",19.44071177,-99.1631859,"2010-07","BRB831005V12"
"41","BLOCK SUITES SA DE CV",17,6697843,"BLOCK SUITES HOTEL",721112,"Hoteles sin otros servicios integrados","11 a 30 personas","AVENIDA","CHAPULTEPEC","EJE VIAL","2 PONIENTE (MONTERREY)","AVENIDA","CHAPULTEPEC","AVENIDA","OAXACA",346,"","","",NA,"","COLONIA","ROMA NORTE","","","",6700,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","998",11,NA,"BLOCKSUITES@GMAIL.COM","WWW.BLOCKSUITE.COM","Fijo",19.42286749,-99.16509677,"2016-01","BSU121217NGA"
"42","BOPPARD S DE RL DE CV",18,6258536,"BOPPARD",721112,"Hoteles sin otros servicios integrados","11 a 30 personas","CALZADA","ACOXPA","CALZADA","LINDER0","CALLE","PRIMERA CERRADA DE ACOXPA","AVENIDA","LA GARITA",889,"","","",0,"","COLONIA","RESIDENCIAL VILLACOAPA","","","",14390,9,"CIUDAD DE MÉXICO",12,"Tlalpan",1,"Tlalpan","731",8,NA,"","","Fijo",19.29010119,-99.11884059,"2014-12","BOP080714CC7"
"43","BOUTIQUE VIADUCTO S DE RL DE CV",836,6307013,"V MOTEL BOUTIQUE",721113,"Moteles","51 a 100 personas","VIADUCTO","PRESIDENTE MIGUEL ALEMÁN","AVENIDA","PUENTE DE LA MORENA","CIRCUITO","INTERIOR (AVENIDA PATRIOTISMO)","BOULEVARD","PRESIDENTE MIGUEL ALEMÁN",77,"","","",NA,"","COLONIA","TACUBAYA","","","",11870,9,"CIUDAD DE MÉXICO",16,"Miguel Hidalgo",1,"Miguel Hidalgo","1211",6,NA,"RRHH@VMOTELBOUTIQUE.COM","WWW.VMOTELBOUTIQUE.COM","Fijo",19.39951943,-99.18222602,"2012-06","BVI1102117P9"
"44","BROCKMAN SA DE CV",493,6305075,"HOTEL OXFORD",721111,"Hoteles con otros servicios integrados","6 a 10 personas","CALLE","IGNACIO MARISCAL","CALLE","RAMOS ARISPE","CALLE","JOSÉ DE EMPARAM","AVENIDA","PUENTE DE ALVARADO",67,"","","",0,"","COLONIA","COLONIA TABACALERA","","","",6030,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","714",8,NA,"HOTEL.OXFORD@GMAIL.COM","","Fijo",19.43752395,-99.15235887,"2010-07","BRO740102AJ5"
"45","BUMO DE MEXICO SA DE CV",492,6304278,"HOTEL OSLO",721111,"Hoteles con otros servicios integrados","31 a 50 personas","EJE VIAL","CENTRAL (LAZARO CARDENAS)","CALLE","DOCTOR IGNACIO BARAJAS LOZANO","VIADUCTO","PRESIDENTE MIGUEL ALEMÁN","CALLE","DOCTOR ROBERTO SOLÍS QUIROGA",337,"","","",NA,"","COLONIA","BUENOS AIRES","","","",6780,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","1483",23,NA,"FACTURACION@HOTELOSLO.COM.MX","","Fijo",19.4041936,-99.14501263,"2010-07","BME7604135JA"
"46","CACHAFOL SA DE CV",190,6259231,"HOTEL CASTROPOL",721112,"Hoteles sin otros servicios integrados","11 a 30 personas","AVENIDA","JOSE MARIA PINO SUAREZ","CALLE","SAN JERONIMO","CALLE","REGINA","CALLE","CORREO MAYOR",58,"","","",NA,"","COLONIA","CENTR0","","","",6090,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","907",13,NA,"CONTACTO@HOTELCASTROPOL.COM","","Fijo",19.42699258,-99.13278469,"2010-07","CAC130304UT3"
